epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2377,2.53245,4.31269,2.43028,0.21982,0.9,0.26616,0.14231,2.29465,3.652,2.27062,3.334e-05,3.334e-05,3.334e-05
2,81.5256,2.18491,3.56389,2.16937,0.98356,0.5,0.995,0.5544,1.95681,2.31959,1.72132,8.16997e-05,8.16997e-05,8.16997e-05
3,119.551,1.79039,2.45412,1.82754,0.67597,1,0.995,0.55067,1.5474,4.25121,1.50205,0.000128079,0.000128079,0.000128079
4,155.922,1.44321,1.96217,1.45651,0.81491,1,0.995,0.5905,1.27437,3.87581,1.4032,0.000172478,0.000172478,0.000172478
5,191.657,1.21239,1.58801,1.40957,0.90075,0.5,0.64667,0.43607,1.22196,2.60871,1.24412,0.000214896,0.000214896,0.000214896
6,227.948,1.29088,1.43555,1.45301,0.99105,0.5,0.54725,0.37975,1.09219,2.11923,1.18011,0.000255334,0.000255334,0.000255334
7,262.887,1.23593,1.56568,1.30587,0.98938,0.5,0.51095,0.33361,1.20179,2.27375,1.27447,0.000293792,0.000293792,0.000293792
8,298.642,1.40578,1.64979,1.41076,0.98195,0.5,0.74625,0.43355,1.21126,2.04982,1.32147,0.000330269,0.000330269,0.000330269
9,333.947,1.27464,1.26232,1.28585,1,0.49341,0.597,0.39338,1.26623,2.1194,1.32722,0.000364766,0.000364766,0.000364766
10,370.538,1.26055,1.58572,1.37024,0.07496,0.4,0.11415,0.06116,1.33272,3.58521,1.41545,0.000397283,0.000397283,0.000397283
11,406.183,1.27638,1.47758,1.35784,0.99124,0.4,0.64667,0.37602,1.44554,1.72322,1.47452,0.000427819,0.000427819,0.000427819
12,440.999,1.05955,1.03341,1.20327,1,0.49953,0.66333,0.40178,1.37135,1.52407,1.42487,0.000456375,0.000456375,0.000456375
13,476.067,1.03316,1.02409,1.28116,0.66742,0.86632,0.65319,0.37965,1.34775,2.02273,1.44392,0.00048295,0.00048295,0.00048295
14,512.849,1.1065,0.93153,1.26654,0.99462,0.5,0.597,0.39136,1.10159,1.3742,1.23761,0.000507545,0.000507545,0.000507545
